Protein	Description	Median expression level	IQR (Log2 FC)	Intra-ind  CV	Inter-ind CV	FDA drug target
JAM2	junctional adhesion molecule 2	11.792	0.028	0.012	0.020	no
TNFSF10	TNF superfamily member 10	11.840	0.028	0.013	0.021	no
THBD	thrombomodulin	13.692	0.028	0.013	0.020	no
MARCO	macrophage receptor with collagenous structure	10.474	0.028	0.010	0.021	no
LGALS9	galectin 9	12.772	0.027	0.009	0.023	no
SORT1	sortilin 1	11.898	0.027	0.015	0.021	no
TNFSF13	TNF superfamily member 13	11.502	0.027	0.012	0.022	no
ACVRL1	activin A receptor like type 1	11.419	0.026	0.011	0.019	no
FLT4	fms related tyrosine kinase 4	11.191	0.026	0.009	0.021	yes
DNER	delta/notch like EGF repeat containing	12.459	0.026	0.011	0.019	no
ERBB2	erb-b2 receptor tyrosine kinase 2	12.051	0.025	0.010	0.019	yes
DDR1	discoidin domain receptor tyrosine kinase 1	9.771	0.025	0.011	0.018	no
THBS2	thrombospondin 2	10.173	0.025	0.011	0.019	no
DLL1	delta like canonical Notch ligand 1	12.689	0.024	0.010	0.018	no
NTRK3	neurotrophic receptor tyrosine kinase 3	11.541	0.024	0.010	0.018	no
CTSS	cathepsin S	9.367	0.024	0.010	0.019	no
KDR	kinase insert domain receptor	10.813	0.024	0.010	0.017	yes
WFDC2	WAP four-disulfide core domain 2	11.654	0.023	0.011	0.018	no
PGF	placental growth factor	11.797	0.023	0.012	0.017	yes
CPM	carboxypeptidase M	11.910	0.023	0.007	0.016	no
SELPLG	selectin P ligand	9.909	0.023	0.009	0.026	no
ERBB3	erb-b2 receptor tyrosine kinase 3	11.506	0.023	0.011	0.018	no
TEK	TEK receptor tyrosine kinase	11.704	0.022	0.009	0.016	yes
LGALS1	galectin 1	10.769	0.022	0.011	0.017	no
OSCAR	osteoclast associated, immunoglobulin-like receptor	14.238	0.022	0.008	0.017	no
TNFRSF21	TNF receptor superfamily member 21	12.224	0.022	0.008	0.016	no
SCARA5	scavenger receptor class A member 5	11.197	0.022	0.009	0.016	no
MIA	melanoma inhibitory activity	13.886	0.021	0.007	0.016	no
SMAD5	SMAD family member 5	7.936	0.019	0.011	0.016	no
CSF1	colony stimulating factor 1	13.094	0.019	0.011	0.015	no
PRELP	proline and arginine rich end leucine rich repeat protein	10.341	0.019	0.009	0.014	no
GPNMB	glycoprotein nmb	10.690	0.018	0.009	0.014	no
SPARC	secreted protein acidic and cysteine rich	9.852	0.017	0.010	0.013	no
PIGR	polymeric immunoglobulin receptor	10.088	0.017	0.007	0.012	no
AMBP	alpha-1-microglobulin/bikunin precursor	11.456	0.017	0.008	0.012	no
NRCAM	neuronal cell adhesion molecule	12.073	0.016	0.008	0.013	no
NBL1	neuroblastoma 1, DAN family BMP antagonist	9.233	0.015	0.008	0.036	no
CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1	10.186	0.015	0.008	0.011	no
SPON2	spondin 2	14.088	0.014	0.008	0.009	no
